from_id,to_id,transport_id,price_min_EUR,duration_min
280,331,2,16,415
280,207,2,23,330
107,297,1,46,180
297,216,2,5,100
107,108,3,16,78
108,297,1,50,215
107,147,3,42,275
147,297,1,36,75
107,160,1,105,315
107,266,1,29,255
108,196,3,36,264
107,124,2,36,645
124,297,2,11,245
297,216,2,5,130
297,216,3,12,199
63,122,1,364,560
63,225,1,239,420
225,122,3,45,97
63,120,1,250,520
120,122,3,51,90
63,225,1,205,420
63,142,1,352,560
142,122,3,17,47
63,243,1,239,410
243,120,3,34,91
98,56,1,135,280
88,98,2,4,120
98,56,1,107,275
119,131,1,185,270
131,178,10,51,202
119,178,1,130,365
119,178,1,102,285
162,131,1,69,105
119,131,1,60,190
162,178,1,120,215
277,131,3,46,395
111,189,1,65,105
111,335,1,70,100
335,189,3,10,120
111,252,1,45,95
252,189,3,9,108
111,252,1,50,95
111,293,3,110,204
293,335,3,45,340
111,252,2,45,975
252,189,2,10,130
161,354,3,100,920
111,370,3,65,697
370,189,3,110,319
184,318,1,24,215
184,166,2,8,61
166,318,1,30,75
184,162,1,11,60
166,150,1,11,80
166,162,1,12,70
184,119,2,27,370
119,162,2,20,160
237,201,3,24,106
201,116,1,70,160
116,211,3,11,97
201,293,1,70,185
239,211,3,5,36
201,111,1,70,155
111,100,3,50,62
100,211,3,12,115
237,201,3,25,121
201,345,10,21,120
345,116,1,65,155
201,161,1,90,150
161,116,3,70,153
201,116,1,30,175
174,116,3,65,164
116,211,3,11,109
371,225,1,40,210
225,281,3,85,191
371,167,1,125,585
167,281,3,23,59
371,225,1,57,200
371,122,1,80,325
122,281,3,51,121
371,142,1,57,395
134,225,1,63,215
371,265,1,57,480
371,134,2,18,495
134,225,2,136,1800
225,281,2,18,325
371,134,3,13,779
371,225,2,132,3300
371,357,3,2,344
357,122,2,108,2994
122,281,2,11,219
57,9,1,156,395
239,116,3,28,35
116,145,3,20,110
145,196,3,22,243
196,147,3,44,281
147,307,3,2,179
116,307,1,135,280
116,147,1,54,90
147,307,3,25,164
293,307,1,117,280
293,147,1,40,120
293,147,1,41,105
116,111,3,58,93
111,147,1,34,80
116,193,1,54,95
38,140,1,280,635
38,370,1,299,675
370,140,3,23,54
38,326,1,499,760
326,140,3,18,77
38,175,1,449,705
38,174,1,230,535
174,244,3,21,32
244,140,3,75,120
38,316,1,290,720
303,120,1,68,170
303,225,1,26,165
303,225,1,57,155
303,225,1,24,160
303,243,1,40,185
303,243,1,27,175
303,177,3,16,96
177,225,1,85,130
303,335,3,34,283
335,293,2,22,590
303,293,2,63,1225
303,252,3,32,190
31,82,1,391,855
336,82,1,1012,600
31,82,1,472,870
111,203,1,74,100
111,101,1,80,85
101,203,3,24,126
111,166,1,40,85
166,203,3,27,212
111,225,3,136,250
225,203,3,85,485
111,225,2,22,685
225,184,2,31,480
184,203,2,14,220
264,203,3,49,378
293,91,1,258,525
293,91,1,292,620
293,116,3,73,82
116,91,1,225,615
293,111,3,101,180
111,91,1,281,505
152,172,1,55,180
172,255,3,13,63
152,161,1,100,170
152,116,1,60,170
220,255,3,5,33
152,111,1,65,190
152,116,1,35,170
116,220,3,10,47
252,174,3,140,444
252,174,3,200,444
174,145,2,11,120
145,255,2,8,105
152,252,3,95,1156
252,244,3,120,398
244,145,3,45,88
24,40,1,778,1300
244,174,3,20,30
174,22,1,349,360
366,315,3,6,39
233,22,1,324,475
244,316,3,25,39
316,22,1,573,465
244,161,3,52,116
161,22,1,199,355
244,140,3,47,129
140,370,3,24,72
370,22,1,274,350
315,22,1,324,740
288,297,1,50,310
297,296,3,3,54
231,297,1,42,210
288,348,1,34,195
348,296,3,8,184
202,194,1,102,425
202,243,1,57,130
243,158,3,25,81
202,224,1,63,240
224,158,3,3,30
202,225,1,63,110
225,158,3,23,97
202,225,1,51,115
247,243,1,57,130
247,293,3,136,340
293,225,3,114,140
202,247,2,9,145
247,225,2,34,1440
225,158,2,9,275
202,111,3,85,819
174,266,3,21,168
316,266,3,40,129
124,160,3,36,86
295,218,1,30,470
343,218,1,220,975
295,305,1,75,375
164,218,1,70,500
343,305,1,100,160
164,305,1,100,155
136,305,2,60,1330
164,327,2,11,255
327,213,2,127,1125
252,284,1,11,95
252,284,1,11,100
252,293,3,55,406
293,128,3,85,389
128,284,10,12,435
252,189,3,9,94
252,189,3,45,101
189,128,2,28,930
189,128,10,60,1200
370,309,1,78,125
141,140,3,25,56
140,309,1,32,135
141,370,3,41,81
370,136,3,238,551
136,309,2,27,662
141,370,2,5,95
370,309,2,174,1530
370,309,2,110,1710
370,123,3,284,639
32,128,1,180,540
128,187,3,10,91
32,342,1,240,560
66,67,1,129,385
66,90,1,123,260
292,215,3,3,109
215,320,1,75,465
