from_city,to_city,url,price
Brussels,Amsterdam,https://www.thetrainline.com/en/train-times/brussels-to-amsterdam,from €26
Brussels,Paris,https://www.thetrainline.com/en/train-times/brussels-to-paris,from €9
Paris,Barcelona,https://www.thetrainline.com/en/train-times/paris-to-barcelona,from €29
Barcelona,Madrid,https://www.thetrainline.com/en/train-times/barcelona-to-madrid,from €6
Madrid,Sevilla,https://www.thetrainline.com/en/train-times/madrid-to-sevilla,from €7
Barcelona,Sevilla,https://www.thetrainline.com/en/train-times/barcelona-to-sevilla,from €13.45
Lyon,Clermont-Ferrand,https://www.thetrainline.com/en/train-times/lyon-to-clermont-ferrand,from €17
Geneva,Lyon,https://www.thetrainline.com/en/train-times/geneva-to-lyon,from €14.70
Venice,Milan,https://www.thetrainline.com/en/train-times/venice-to-milan,from €9
Milan,Lyon,https://www.thetrainline.com/en/train-times/milan-to-lyon,from €25
Constanta,Bucharest,https://www.thetrainline.com/en/train-times/constanta-to-bucharest,NA
Bristol,Southampton,https://www.thetrainline.com/en/train-times/bristol-to-southampton,NA
Pescara,Bologna,https://www.thetrainline.com/en/train-times/pescara-to-bologna,from €9.90
Pescara,Ancona,https://www.thetrainline.com/en/train-times/pescara-to-ancona,from €7.90
Iasi,Chisinau,https://www.thetrainline.com/en/train-times/iasi-to-chisinau,NA
Valencia,Alicante,https://www.thetrainline.com/en/train-times/valencia-to-alicante,from €2.55
Madrid,Valladolid,https://www.thetrainline.com/en/train-times/madrid-to-valladolid,from €9.85
Bilbao,Valladolid,https://www.thetrainline.com/en/train-times/bilbao-to-valladolid,from €12.55
Genoa,Milan,https://www.thetrainline.com/en/train-times/genoa-to-milan,from €9.90
Innsbruck,Zurich,https://www.thetrainline.com/en/train-times/innsbruck-to-zurich,NA
Munich,Paris,https://www.thetrainline.com/en/train-times/munich-to-paris,from €16.90
Paris,London,https://www.thetrainline.com/en/train-times/paris-to-london,from €38.50
Innsbruck,Amsterdam,https://www.thetrainline.com/en/train-times/innsbruck-to-amsterdam,NA
Amsterdam,London,https://www.thetrainline.com/en/train-times/amsterdam-to-london,from €55
Valladolid,Madrid,https://www.thetrainline.com/en/train-times/valladolid-to-madrid,from €9.85
Valladolid,Bilbao,https://www.thetrainline.com/en/train-times/valladolid-to-bilbao,from €12.55
