"","from_city","to_city"
"1","Brussels","Amsterdam"
"2","Brussels","Paris"
"3","Paris","Barcelona"
"4","Barcelona","Madrid"
"5","Madrid","Sevilla"
"6","Barcelona","Sevilla"
"7","Lyon","Clermont-Ferrand"
"8","Geneva","Lyon"
"9","Venice","Milan"
"10","Milan","Lyon"
"11","Constanta","Bucharest"
"12","Bristol","Southampton"
"13","Pescara","Bologna"
"14","Pescara","Ancona"
"15","Iasi","Chisinau"
"16","Valencia","Alicante"
"17","Madrid","Valladolid"
"18","Bilbao","Valladolid"
"19","Genoa","Milan"
"20","Innsbruck","Zurich"
"21","Munich","Paris"
"22","Paris","London"
"23","Innsbruck","Amsterdam"
"24","Amsterdam","London"
"25","Valladolid","Madrid"
"26","Valladolid","Bilbao"
"27","Madrid","Salamanca"
"28","Valladolid","Salamanca"
"29","Warsaw","Berlin"
"30","Berlin","Frankfurt"
"31","Frankfurt","Bordeaux"
"32","Rome","Venice"
"33","Vienna","Graz"
"34","Frankfurt","Stuttgart"
"35","Munich","Stuttgart"
"36","Hamburg","Stuttgart"
"37","Rostock","Hamburg"
"38","Rostock","Berlin"
"39","Bremen","Hamburg"
"40","Hamburg","Aarhus"
"41","Aarhus","Aalborg"
"42","Groningen","Amsterdam"
"43","Nantes","Paris"
"44","London","Plymouth"
"45","Cardiff","Bristol"
"46","Bristol","Plymouth"
"47","Exeter","Plymouth"
"48","Inverness","Aberdeen"
"49","Inverness","Edinburgh"
"50","Edinburgh","Plymouth"
"51","Cardiff","Plymouth"
"52","Maastricht","Liege"
"53","Liege","Brussels"
"54","Paris","Clermont-Ferrand"
"55","Liege","Paris"
"56","Saarbruecken","Salzburg"
"57","Salzburg","Vienna"
"58","Saarbruecken","Mannheim"
"59","Mannheim","Munich"
"60","Munich","Vienna"
"61","Mannheim","Frankfurt"
"62","Mannheim","Stuttgart"
"63","Linz","Vienna"
"64","Saarbruecken","Strasbourg"
"65","Nice","Marseille"
"66","Bratislava","Budapest"
"67","Geneva","Marseille"
"68","Bratislava","Zurich"
"69","Zurich","Geneva"
"70","Vienna","Genoa"
"71","Esbjerg","Copenhagen"
"72","Esbjerg","Aarhus"
"73","Ronneby","Copenhagen"
"74","Barcelona","Alicante"
"75","Copenhagen","Hamburg"
"76","Madrid","Alicante"
"77","Malmo","Hamburg"
"78","Barcelona","Valencia"
"79","Brussels","Antwerp"
"80","Stuttgart","Munich"
"81","Munich","Salzburg"
"82","Salzburg","Klagenfurt"
"83","Stuttgart","Salzburg"
"84","Basel","Zurich"
"85","Helsinki","Tampere"
"86","Turku","Tampere"
"87","Cagliari","Olbia"
"88","Manchester","Leeds"
"89","Manchester","London"
"90","Manchester","Liverpool"
"91","Salzburg","Graz"
"92","Budapest","Graz"
"93","Malmo","Copenhagen"
"94","Malmo","Salzburg"
"95","Bologna","Venice"
"96","Venice","Trieste"
"97","Verona","Trieste"
"98","Budapest","Vienna"
"99","Krakow","Warsaw"
"100","Verona","Milan"
"101","Exeter","Bristol"
"102","Tallinn","Tartu"
"103","Bristol","Cardiff"
"104","Exeter","London"
"105","London","Brussels"
"106","Salamanca","Madrid"
"107","Madrid","Zaragoza"
"108","Rimini","Bologna"
"109","Bologna","Florence"
"110","Bologna","Rome"
"111","Vienna","Bucharest"
"112","London","Bournemouth"
"113","Antwerp","Rotterdam"
"114","Antwerp","Amsterdam"
"115","Antwerp","Brussels"
